"","play_id","play_time","weather_time","condition","temp","wind_dir","wind_speed","precip"
"1",37,2018-09-06 21:05:00,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"2",52,2018-09-06 21:05:00,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"3",75,2018-09-06 21:05:00,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"4",104,2018-09-06 21:08:01,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"5",125,2018-09-06 21:09:02,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"6",146,2018-09-06 21:10:03,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"7",168,2018-09-06 21:11:03,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"8",190,2018-09-06 21:12:04,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"9",214,2018-09-06 21:13:05,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"10",235,2018-09-06 21:14:05,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"11",256,2018-09-06 21:15:06,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"12",278,2018-09-06 21:16:07,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"13",299,2018-09-06 21:17:07,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"14",320,2018-09-06 21:18:08,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"15",344,2018-09-06 21:19:09,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"16",366,2018-09-06 21:20:09,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"17",402,2018-09-06 21:21:10,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"18",424,2018-09-06 21:22:11,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"19",445,2018-09-06 21:23:11,2018-09-06 20:54:00,"Cloudy",79,"SSW",9,0
"20",466,2018-09-06 21:24:12,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"21",492,2018-09-06 21:25:13,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"22",521,2018-09-06 21:26:13,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"23",545,2018-09-06 21:27:14,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"24",606,2018-09-06 21:28:15,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"25",636,2018-09-06 21:29:15,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"26",658,2018-09-06 21:30:16,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"27",677,2018-09-06 21:31:17,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"28",699,2018-09-06 21:32:17,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"29",720,2018-09-06 21:33:18,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"30",752,2018-09-06 21:34:19,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"31",776,2018-09-06 21:35:19,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"32",795,2018-09-06 21:36:20,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"33",816,2018-09-06 21:37:21,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"34",839,2018-09-06 21:38:21,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
"35",872,2018-09-06 21:39:22,2018-09-06 21:54:00,"Cloudy",80,"SSW",6,0
